iter	Logloss
0	0.6755401355
1	0.6595986167
2	0.6441509049
3	0.6289638941
4	0.6153241776
5	0.5999031601
6	0.5853587015
7	0.570653577
8	0.5569846531
9	0.544556288
10	0.5309633907
11	0.5192538687
12	0.5065573291
13	0.4946250057
14	0.4831169595
15	0.4729604559
16	0.4633847364
17	0.4534378625
18	0.4430086177
19	0.4338038408
20	0.4245038479
21	0.4148330613
22	0.4056406777
23	0.3972514991
24	0.3901495759
25	0.3826667647
26	0.3750896185
27	0.3679705891
28	0.3609742899
29	0.3552437964
30	0.3499374708
31	0.3431561613
32	0.3367539605
33	0.3305788529
34	0.3249577897
35	0.3190447583
36	0.314235868
37	0.308585075
38	0.3031436465
39	0.2980278666
40	0.2919888362
41	0.2875047496
42	0.2832474275
43	0.2783316023
44	0.2735014212
45	0.2691891966
46	0.2647411334
47	0.2611303151
48	0.2578030455
49	0.2542725615
50	0.2502269664
51	0.2466263396
52	0.2424727265
53	0.238974212
54	0.2358710503
55	0.2335331181
56	0.2301311765
57	0.2268384646
58	0.2237971585
59	0.2213438834
60	0.2182313585
61	0.2152319004
62	0.2129710139
63	0.2105103428
64	0.2086203982
65	0.2062957191
66	0.2039240976
67	0.2015733664
68	0.1995246888
69	0.1972922169
70	0.1953992329
71	0.1932443638
72	0.1913074744
73	0.1896568626
74	0.187693204
75	0.1851364736
76	0.1830241307
77	0.1814259157
78	0.1799227124
79	0.1779945516
80	0.1765253833
81	0.1746801362
82	0.172692047
83	0.1715110133
84	0.1702215093
85	0.1683767819
86	0.1671659092
87	0.165869364
88	0.1641931606
89	0.163070044
90	0.1615174657
91	0.1605697929
92	0.1595524851
93	0.158190852
94	0.1566929098
95	0.1555246995
96	0.1541147788
97	0.1530779784
98	0.1520104423
99	0.1509016616
100	0.149842887
101	0.1490683077
102	0.1481444351
103	0.1470204583
104	0.1462098442
105	0.144930727
106	0.1437890748
107	0.1426751779
108	0.1417205468
109	0.1405886425
110	0.1398993677
111	0.1389001272
112	0.1379572741
113	0.137334366
114	0.1362678774
115	0.1355234771
116	0.1344487347
117	0.133673894
118	0.1330317294
119	0.1323971746
120	0.1314346162
121	0.1307867097
122	0.1299144206
123	0.12935131
124	0.1283944894
125	0.1275039383
126	0.1268450799
127	0.1260590677
128	0.125583216
129	0.1249441722
130	0.1241784409
131	0.1236566337
132	0.1229787317
133	0.1224518875
134	0.1219369671
135	0.1215027452
136	0.1210603266
137	0.1206231496
138	0.1203336939
139	0.1195897053
140	0.119165969
141	0.1184690844
142	0.1178887222
143	0.1171971523
144	0.1168229142
145	0.1162900751
146	0.1157510051
147	0.1153808676
148	0.1143567887
149	0.1140412501
150	0.1135474699
151	0.1129571722
152	0.1125024988
153	0.1118800272
154	0.1113921016
155	0.1109076553
156	0.1102993072
157	0.109939001
158	0.1095228206
159	0.1091549951
160	0.108821279
161	0.1086172759
162	0.1081040929
163	0.1077365843
164	0.1073262845
165	0.1069033701
166	0.1064820786
167	0.1060592762
168	0.1056595565
169	0.1054499046
170	0.1049216404
171	0.1045411557
172	0.1040804146
173	0.1038541962
174	0.1033016362
175	0.1030070465
176	0.1025866967
177	0.1023339427
178	0.1019562541
179	0.1015035864
180	0.1013360708
181	0.101049071
182	0.1006601615
183	0.1004088922
184	0.1002568373
185	0.09983079275
186	0.0997052867
187	0.09940083975
188	0.09901791382
189	0.09872242195
190	0.09840409066
191	0.09807246422
192	0.09775818059
193	0.09734325253
194	0.09716708192
195	0.09669688747
196	0.09650906441
197	0.09610320923
198	0.09583963872
199	0.09557534803
