h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,number_stations,highway,subway,voltage,has_charging_station,distance_to_center
88194e6d55fffff,51.48684126636542,0.11259564055748077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5601.545454545455,0.0,3.0,0.0,0.0,0,16.1578294729414
88194e6d57fffff,51.47908410023308,0.11681214071982277,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,22.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5208.0266865841795,0.0,0.0,0.0,0.0,0.0,0,16.463973670960375
88194e6d59fffff,51.49037823098913,0.13268558718838333,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,20.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1338.1903009281104,6812.166666666667,0.0,17.0,0.0,0.0,0,17.561532952897423
88194e6d5bfffff,51.482621198948486,0.1368988848359661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,17.84746424221292
88194e6d5dfffff,51.492488668488306,0.12053280387318073,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,7.0,0.0,24.0,1.0,1.0,0.0,0.0,0.0,46250.855995173595,265.0,0.0,76.0,3.0,0.0,0,16.727590857442035
88194e6d61fffff,51.500919683011794,0.07189987501650502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14662.61871966919,10711.25,0.0,16.0,0.0,0.0,0,13.444851654174238
88194e6d63fffff,51.49316331776225,0.07612443141179413,7.0,3.0,1.0,9.0,4.0,0.0,2.0,0.0,33.0,70.0,0.0,14.0,0.0,4.0,0.0,2.0,0.0,22213.38878948808,21022.62222222222,0.0,63.0,0.0,0.0,0,13.652475186587386
88194e6d65fffff,51.50302474980568,0.0597361964490987,5.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,8.0,21.0,0.0,11.0,3.0,1.0,0.0,0.0,0.0,71599.11101543327,5740.0,0.0,44.0,0.0,0.0,0,12.642668215926701
88194e6d67fffff,51.49526851925913,0.06396300567123026,22.0,3.0,0.0,15.0,2.0,0.0,0.0,1.0,24.0,99.0,1.0,16.0,2.0,1.0,1.0,4.0,0.0,56215.847979942635,15096.677083333334,0.0,58.0,0.0,0.0,0,12.828213937813196
88194e6d69fffff,51.506569639872076,0.0798377698075459,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,37.0,48.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,23069.772953915206,0.0,0.0,14.0,0.0,0.0,0,14.084069666249995
