h3_index,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,сharger_number,highway,public_transport,voltage,car_amenities,needs_amenities,shops_amenities,work_amenity,has_charging_station,usage_type,study_amenity,latitude,longitude,distance_to_center
88195da539fffff,0.0,0.0,14.0,1.0,0.0,0.0,0.0,23.0,0.0,5.0,0.0,407268.1166848428,3938052.4791666665,0.0,15.0,17.0,0.0,1.0,0.0,3.0,0.0,0,nothing,0.0,51.58270786897886,-0.2823756309171162,16994.435093111468
88195da53bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,61671.159908097485,274907.25,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0,nothing,0.0,51.574956677435345,-0.2780838957118879,16994.608172825385
88195da53dfffff,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2305980.4375,0.0,9.0,6.0,0.0,0.0,6.0,1.0,0.0,0,nothing,0.0,51.58478214180514,-0.2946068751413391,16995.05401785934
88195da541fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3568392.6805555555,0.0,5.0,7.0,0.0,0.0,0.0,3.0,0.0,0,nothing,1.0,51.61523049729536,-0.267139431129314,16991.71175346682
88195da543fffff,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849644.2955342331,3442226.793055556,0.0,4.0,15.0,0.0,0.0,0.0,4.0,0.0,0,nothing,0.0,51.60748091973012,-0.2628478765682435,16991.885466118045
88195da545fffff,0.0,0.0,18.0,1.0,0.0,0.0,0.0,37.0,0.0,6.0,0.0,36847.228825885344,2987172.213699495,0.0,13.0,10.0,0.0,0.0,11.0,6.0,0.0,0,nothing,1.0,51.61730730826766,-0.2793755090404059,16992.329936031132
88195da547fffff,0.0,0.0,9.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,10945223.758577831,7292106.873196248,0.0,45.0,17.0,0.0,1.0,4.0,9.0,1.0,0,nothing,0.0,51.60955787937204,-0.275081687438805,16992.503836567386
88195da549fffff,0.0,0.0,4.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,160306.65326282874,10371250.688446969,0.0,28.0,13.0,0.0,2.0,3.0,5.0,0.0,0,nothing,0.0,51.62090190627,-0.2591961320711063,16990.91974121926
88195da54bfffff,0.0,0.0,7.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,378369.5312846769,2461962.7895833333,0.0,19.0,13.0,0.0,1.0,1.0,6.0,0.0,0,nothing,1.0,51.613152592552446,-0.2549055209274281,16991.09350505811
88195da54dfffff,0.0,0.0,1.0,3.0,1.0,0.0,0.0,18.0,0.0,4.0,0.0,10543.199227155908,5121298.166666666,0.0,17.0,11.0,0.0,0.0,1.0,4.0,2.0,0,nothing,0.0,51.622979662455045,-0.271432309648276,16991.537801795534
