h3_index,latitude,longitude,bike_amenities,car_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,needs_amenities,other_amenities,pet_amenity,public_transport,shops_amenities,social_amenities,study_amenity,water_amenities,work_amenity,parking_area,traffic_count,highway,voltage,сharger_number,has_charging_station,distance_to_center
8811aa7811fffff,55.72329713009052,37.62458954257349,15.0,10.0,8.0,63.0,30.0,1.0,19.0,35.0,109.0,10.0,2.0,14.0,42.0,40.0,3.0,0.0,46.0,183149.11403249018,23432.645305200276,48.0,110000.0,0.0,0,3.2671281357367956
8811aa7813fffff,55.728153050031416,37.63598851562757,11.0,12.0,3.0,82.0,18.0,7.0,14.0,34.0,48.0,11.0,0.0,27.0,82.0,61.0,2.0,0.0,46.0,280437.0655598245,23432.645305200276,67.0,0.0,0.0,0,2.967829120530713
8811aa7815fffff,55.71497739501077,37.62550250667139,18.0,10.0,9.0,34.0,18.0,4.0,11.0,19.0,70.0,6.0,1.0,14.0,33.0,14.0,1.0,0.0,26.0,243906.79454271795,23432.645305200276,60.0,110000.0,0.0,0,4.190682642135157
8811aa7817fffff,55.719832964706406,37.63689937218929,0.0,28.0,2.0,20.0,5.0,3.0,1.0,7.0,11.0,1.0,0.0,5.0,15.0,13.0,3.0,0.0,20.0,118091.3174531257,23432.645305200276,25.0,110000.0,0.0,0,3.8440153932486063
8811aa7819fffff,55.7267596794017,37.61227889850465,8.0,5.0,0.0,39.0,15.0,4.0,17.0,21.0,63.0,10.0,1.0,17.0,34.0,40.0,3.0,0.0,24.0,362846.2910219735,23432.645305200276,51.0,0.0,0.0,0,2.8401223941410176
8811aa781bfffff,55.73161660981435,37.62367621667233,25.0,23.0,5.0,84.0,37.0,10.0,18.0,64.0,46.0,34.0,0.0,20.0,64.0,55.0,1.0,0.0,62.0,99258.6681510392,23432.645305200276,91.0,0.0,0.0,0,2.34716245061669
8811aa781dfffff,55.718440550103146,37.61319433119842,12.0,4.0,9.0,41.0,14.0,4.0,10.0,28.0,130.0,13.0,0.0,9.0,27.0,39.0,4.0,1.0,40.0,241027.43529549072,23432.645305200276,61.0,110000.0,0.0,0,3.76171290292336
8811aa7821fffff,55.685161484573236,37.61685243839957,3.0,10.0,0.0,10.0,4.0,0.0,8.0,6.0,6.0,3.0,1.0,17.0,31.0,13.0,0.0,0.0,20.0,121864.76315142849,23432.645305200276,19.0,0.0,0.0,0,7.464262433011916
8811aa7823fffff,55.69001666109071,37.62823923028948,0.0,2.0,0.0,7.0,0.0,1.0,4.0,6.0,12.0,0.0,0.0,8.0,8.0,2.0,1.0,2.0,22.0,343428.597726711,23432.645305200276,9.0,220000.0,0.0,0,6.968702460582941
8811aa7825fffff,55.67684108283452,37.61776606037959,0.0,2.0,1.0,5.0,1.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,4.0,352721.8129126336,23432.645305200276,9.0,110000.0,0.0,0,8.391312273838567
8811aa7827fffff,55.681695908042315,37.629150749317446,0.0,16.0,4.0,12.0,7.0,1.0,3.0,11.0,8.0,1.0,2.0,25.0,16.0,14.0,2.0,0.0,24.0,451138.89112785703,23432.645305200276,20.0,220000.0,0.0,0,7.895754297338171
8811aa7829fffff,55.6886254467432,37.60455331528215,5.0,11.0,2.0,24.0,11.0,1.0,2.0,11.0,9.0,2.0,2.0,21.0,34.0,18.0,2.0,0.0,3.0,837762.0440036857,23432.645305200276,22.0,110000.0,0.0,0,7.112144060443136
8811aa782bfffff,55.69348163251505,37.615938454705926,6.0,5.0,1.0,11.0,4.0,1.0,8.0,5.0,17.0,1.0,0.0,14.0,14.0,14.0,3.0,0.0,12.0,237888.55847813096,23432.645305200276,3.0,0.0,0.0,0,6.537548622711716
8811aa782dfffff,55.68030565029054,37.60546940118598,0.0,0.0,1.0,3.0,4.0,2.0,8.0,3.0,33.0,1.0,1.0,5.0,5.0,10.0,0.0,0.0,4.0,175826.5947737858,23432.645305200276,26.0,0.0,0.0,0,8.029759334845922
8811aa7831fffff,55.70319202883957,37.63872000306859,4.0,19.0,4.0,40.0,8.0,4.0,1.0,13.0,12.0,4.0,2.0,11.0,43.0,11.0,1.0,0.0,10.0,57949.69382492482,23432.645305200276,41.0,0.0,0.0,0,5.646451938762396
8811aa7833fffff,55.708046237682964,37.65011641392442,6.0,10.0,0.0,48.0,16.0,7.0,10.0,11.0,45.0,4.0,1.0,5.0,44.0,21.0,1.0,0.0,56.0,655550.7765264007,23432.645305200276,33.0,110000.0,0.0,0,5.373001279986055
8811aa7835fffff,55.69487117898881,37.63962977781379,0.0,3.0,1.0,6.0,1.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,23432.645305200276,3.0,0.0,0.0,0,6.558981128322994
8811aa7837fffff,55.699725037413,37.65102408193005,2.0,12.0,0.0,14.0,2.0,3.0,9.0,15.0,7.0,2.0,1.0,10.0,8.0,11.0,0.0,0.0,8.0,296299.1680517415,23432.645305200276,28.0,110000.0,0.0,0,6.252029222928108
8811aa7839fffff,55.70665740492054,37.626415109180506,8.0,6.0,1.0,53.0,6.0,2.0,1.0,7.0,17.0,2.0,0.0,17.0,52.0,20.0,0.0,2.0,32.0,496155.4276338795,23432.645305200276,26.0,220000.0,0.0,0,5.115897066750515
8811aa783bfffff,55.71151262419395,37.63780986793167,1.0,12.0,2.0,5.0,3.0,1.0,1.0,0.0,16.0,3.0,0.0,13.0,6.0,6.0,1.0,0.0,0.0,66119.78466575326,23432.645305200276,19.0,220000.0,0.0,0,4.740029042640407
8811aa783dfffff,55.69833716016532,37.62732735031516,3.0,13.0,3.0,26.0,8.0,4.0,1.0,11.0,28.0,0.0,0.0,9.0,11.0,13.0,1.0,2.0,24.0,161574.8705969823,23432.645305200276,38.0,220000.0,0.0,0,6.042021045912834
8811aa7841fffff,55.70732537082287,37.566727238522766,4.0,1.0,1.0,3.0,2.0,7.0,7.0,1.0,65.0,2.0,0.0,5.0,1.0,2.0,2.0,0.0,8.0,115028.43727182443,23432.645305200276,18.0,0.0,0.0,0,5.864325487646837
8811aa7843fffff,55.712184934297085,37.57810951353986,8.0,5.0,1.0,5.0,2.0,1.0,8.0,8.0,54.0,4.0,0.0,6.0,8.0,4.0,2.0,2.0,2.0,135000.2199648962,23432.645305200276,20.0,0.0,0.0,0,5.039422055040696
