h3_index,bicycle_amenities,bike_amenities,children_amenity,food_amenities,health_amenity,home_amenities,infrastructure_amenities,leisure_amenities,other_amenities,pet_amenity,social_amenities,water_amenities,parking_area,traffic_count,сharger_number,highway,public_transport,railway,subway,voltage,distance_class,car_amenities,needs_amenities,shops_amenities,work_amenity,has_charging_station,usage_type,study_amenity,latitude,longitude,distance_to_center
88194ad5cbfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8235.758866843218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474,0.0,0.0,1.0,0.0,0,nothing,0.0,51.31239644013749,0.06437928254794242,16988.27055696965
88194ad5cdfffff,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,85104.48372129689,29811.272727272728,0.0,0.0,0.0,0.0,0.0,0.0,487,0.0,0.0,1.0,0.0,0,nothing,0.0,51.322259603362106,0.04803904358410497,16988.73326822054
88194ad5d1fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483,0.0,0.0,1.0,0.0,0,nothing,0.0,51.296864513087655,0.0728019092117346,16988.59535282617
88194ad5d5fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982720.75,0.0,0.0,0.0,0.0,0.0,0.0,501,0.0,0.0,0.0,0.0,0,nothing,0.0,51.29896269361294,0.06068163922454486,16989.22137771572
88194ad5d7fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44200.0,0.0,0.0,0.0,0.0,0.0,0.0,505,0.0,0.0,0.0,0.0,0,nothing,0.0,51.29119626972461,0.06489324928859268,16989.3835988854
88194ad5dbfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466,0.0,0.0,1.0,0.0,0,nothing,0.0,51.29476526429192,0.0849200165890445,16987.969267485994
88194ad5e1fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96746.4,0.0,0.0,3.0,0.0,0.0,0.0,548,0.0,0.0,0.0,0.0,0,nothing,0.0,51.31301645821508,0.02008824015986736,16990.936071452037
88194ad5e3fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.8,0.0,0.0,5.0,0.0,0.0,0.0,552,0.0,0.0,2.0,0.0,0,nothing,0.0,51.305250819666256,0.024307858668923796,16991.09908850191
88194ad5e9fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501503.73099808826,1381464.225,0.0,1.0,5.0,0.0,0.0,0.0,527,0.0,0.0,5.0,0.0,0,nothing,0.0,51.3186869923258,0.027998557746020992,16990.14734058769
88194ad5ebfffff,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,0.0,586920.1142904203,3200983.7375,0.0,2.0,19.0,0.0,0.0,0.0,531,1.0,0.0,6.0,0.0,0,nothing,0.0,51.31092161713586,0.03221723348006176,16990.31041366509
88194ad5edfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465296.4,0.0,0.0,0.0,0.0,0.0,0.0,544,0.0,0.0,0.0,0.0,0,nothing,0.0,51.320781701973786,0.0158673252106397,16990.77281328295
88194ad605fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,0.0,0.0,1.0,0.0,0,nothing,0.0,51.376770145506455,0.1393369911711556,16980.22740429362
88194ad60dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921004.0,0.0,0.0,2.0,0.0,0.0,0.0,241,0.0,0.0,0.0,0.0,0,nothing,0.0,51.3824243569162,0.1472596903619199,16979.439741044895
88194ad621fffff,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,174385.83162660946,651430.1666666667,0.0,1.0,10.0,0.0,0.0,0.0,297,0.0,0.0,5.0,0.0,0,nothing,0.0,51.3732209724512,0.1192876662741282,16981.6394911565
88194ad623fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330033.75,0.0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,0.0,0.0,0,nothing,0.0,51.36545810977247,0.12349464805613382,16981.802936240416
88194ad625fffff,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,372458.99028563336,5117638.916666667,0.0,11.0,8.0,0.0,0.0,0.0,314,0.0,2.0,4.0,0.0,0,nothing,0.0,51.375326146248725,0.10715785125577441,16982.26378559117
88194ad627fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,300582.68073712726,3534446.2708333335,0.0,12.0,9.0,0.0,0.0,0.0,318,1.0,2.0,2.0,0.0,0,nothing,0.0,51.36756341344715,0.1113670750769178,16982.427415170085
88194ad629fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61204.8126076053,51699.75,0.0,0.0,8.0,0.0,0.0,0.0,276,0.0,0.0,1.0,0.0,0,nothing,0.0,51.37887732720007,0.12720927651013653,16980.851635630395
88194ad62bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,280,0.0,0.0,0.0,0.0,0,nothing,0.0,51.37111472975004,0.13141531036707055,16981.015136038222
88194ad62dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34362.04143299899,1383809.2276785714,0.0,3.0,8.0,0.0,0.0,0.0,292,0.0,1.0,3.0,0.0,0,nothing,0.0,51.38098344013495,0.115079390061429,16981.475806303486
88194ad631fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14543.339052055124,42287.0,3.0,0.0,0.0,0.0,0.0,3498.542274052478,289,0.0,0.0,0.0,0.0,1,Public use,0.0,51.355588351257545,0.13982349736493538,16981.341417619493
